# CSV-File created with merge-csv.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Publicly detectable techniques for the protection of virtual components,Gang Qu,"Electrical & Computer Engineering Department and Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA",Proceedings of the 38th Design Automation Conference (IEEE Cat. No.01CH37232),23-May-05,2001,,,474,479,"Highlighted with the newly released intellectual property (IP) protection white paper by VSI Alliance, the protection of virtual components (VCs) has received a large amount of attention recently. Digital signature is one of the most promising solutions among the known protection mechanisms. However, the trade-off between hard-to-attack and easy-to-detect and the lack of efficient detection schemes are the major obstacles for digital signatures to thrive. In this paper, we propose a new watermarking method which (i) allows the watermark to be public detected without forensic experts, (ii) gives little advantage to attackers for forgery, and (iii) does not lose the strength of protection provided by other watermarking techniques. The basic idea is to make part of the watermark public. We explain the concept of this public-private watermark and discuss the generation and embedding of such marks. We use popular VLSI CAD problems, namely technology mapping, partitioning, graph coloring, FPGA design, and Boolean satisfiability, to demonstrate its easy detectability, high credibility, low design overhead, and robustness. Finally, this technique is compatible with all the known watermarking and fingerprinting techniques.",0738-100X,1-58113-297-2,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=935555,,Protection;Watermarking;Digital signatures;Intellectual property;Forensics;Forgery;Very large scale integration;Design automation;Field programmable gate arrays;Robustness,,5,2,14,,23-May-05,22-22 June 2001,22-22 June 2001,IEEE,IEEE Conferences
A LSB steganography detection algorithm,Li Zhi; Sui Ai Fen; Yang Yi Xian,"Institute of Electronic Information, Sichuan University, Chengdu, China; Information Security Center, Beijing University of Posts and Telecommunications, Beijing, China; Information Security Center, Beijing University of Posts and Telecommunications, Beijing, China","14th IEEE Proceedings on Personal, Indoor and Mobile Radio Communications, 2003. PIMRC 2003.",14-Jan-04,2003,3,,2780,2783 vol.3,"The spatial LSB steganography results in the alteration of the smooth characteristics between adjoining pixels of the raw image. The relation between the length of embedded message and the gradient energy is theoretically analyzed, and then a steganalysis and detection method, named gradient energy-flipping rate detection (GEFR) is proposed. Through the analysis of the variation of the gradient energy, which results from the LSB steganography in color and grayscale image, the secret message embedded in the target image is detected, and the length of the embedded message is estimated. The method is proved effective and accurate by simulation (detection rate reaches 0.01bit per pixel).",,0-7803-7822-9,10.1109/PIMRC.2003.1259249,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1259249,,Steganography;Detection algorithms;Gray-scale;Pixel;Image color analysis;Transform coding;Image analysis;Computational modeling;Cryptography;Digital images,,16,,8,IEEE,14-Jan-04,7-10 Sept. 2003,7-10 Sept. 2003,IEEE,IEEE Conferences
Ink-deposition model: the relation of writing and ink deposition processes,K. Franke; S. Rose,"Department of Pattern Recognition, Fraunhofer Institute of Production Systems and Design Technology (IPK), Berlin, Germany; Department of Pattern Recognition, Fraunhofer Institute of Production Systems and Design Technology (IPK), Berlin, Germany",Ninth International Workshop on Frontiers in Handwriting Recognition,13-Dec-04,2004,,,173,178,"The paper describes our studies on the influence of physical and biomechanical processes on the ink trace and aims at providing a solid foundation for enhanced signature analysis procedures. By means of a writing robot, simulated human handwriting movements are considered to study the relation between writing process characteristics and ink deposit on paper. Since the robot is able to take up different writing instruments like pencil, ballpoint or fine line pen, the type of inking pen was also varied in the experiments. The results of analyzing these artificial ink traces contribute to a better understanding of the underlying interaction processes and allow for the formulation of a so-called ink-deposition model (IDM). Particularly, we present IDMs that analytically describe the relation of applied pen tip force and relative ink intensity distribution for solid, viscous and fluid ink types. These IDMs might be employed in computer-based analysis of ink trace line quality to recognize skilled forgeries.",1550-5235,0-7695-2187-8,10.1109/IWFHR.2004.59,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1363906,forensic handwriting examination;pseudodynamic signature analysis;line quality;stroke phenomena;writing instruments;robotic writing trace synthesis,Writing;Ink;Robots;Instruments;Forensics;Solids;Humans;Production systems;Pattern recognition;Forgery,,32,,24,IEEE,13-Dec-04,26-29 Oct. 2004,26-29 Oct. 2004,IEEE,IEEE Conferences
Forgery attacks on digital signature schemes without using one-way hash and message redundancy,Hung-Yu Chien,"Department of Information Management, ChaoYang University of Technology, Taiwan",IEEE Communications Letters,19-Jun-06,2006,10,5,324,325,"Chang and Chang proposed a new digital signature scheme, and claimed the scheme can resist the forgery attack without using one-way hash function and any redundancy padding. This claim is very interesting to all designers, because conventionally a one-way hash function is required to resist the attacks. This article shows an existential forgery attack on the scheme, and shows that the scheme would still be insecure even if a secure one-way function were adopted in the scheme.",1558-2558,,10.1109/LCOMM.2006.1633310,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1633310,,Forgery;Digital signatures;Resists;Equations;Hypertext systems;Mobile communication;Mobile computing;Information management;Chaotic communication;Public key,,9,,6,IEEE,19-Jun-06,May-06,,IEEE,IEEE Journals
Detecting Digital Image Forgeries by Measuring Inconsistencies of Blocking Artifact,S. Ye; Q. Sun; E. -C. Chang,"Institute for Infocomm Research, Singapore; Institute for Infocomm Research, Singapore; School of Computing, National University of Singapore, Singapore",2007 IEEE International Conference on Multimedia and Expo,08-Aug-07,2007,,,12,15,"Digital images can be forged easily with today's widely available image processing software. In this paper, we describe a passive approach to detect digital forgeries by checking inconsistencies of blocking artifact. Given a digital image, we find that the blocking artifacts introduced during JPEG compression could be used as a ""natural authentication code"". A blocking artifact measure is then proposed based on the estimated quantization table using the power spectrum of the DCT coefficient histogram. Experimental results also demonstrate the validity of the proposed approach.",1945-788X,1-4244-1016-9,10.1109/ICME.2007.4284574,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4284574,,Digital images;Forgery;Image processing;Transform coding;Image coding;Authentication;Power measurement;Quantization;Discrete cosine transforms;Histograms,,188,1,11,IEEE,08-Aug-07,2-5 July 2007,2-5 July 2007,IEEE,IEEE Conferences
A Digital Signature Schemes Without Using One-way Hash and Message Redundancy and Its Application on Key Agreement,H. Zhang; Z. Yuan; Q. -y. Wen,"School of Science Beijing, University of Posts and Telecommunications, Beijing, China; Beijing Electronic Science and Technology Institute, Beijing, China; School of Science Beijing, University of Posts and Telecommunications, Beijing, China",2007 IFIP International Conference on Network and Parallel Computing Workshops (NPC 2007),22-Oct-07,2007,,,873,878,"Digital signature schemes based on public-key cryptosystems are important building blocks of key agreement protocols. They are vulnerable by existential forgery attack. A usual method to prevent existential forgery attack is on-way hash function and message redundancy. In 2004, Chang and Chang proposed a new digital signature scheme. The scheme is without using one-way hash function and any redundancy padding, which is very interesting to many designers. Recently, Chien found an existential forgery attack. In this paper, we show another forgery attack on it and propose an improved scheme without oracle, which is secure against existential forgery attacks. Then we proposed a key agreement protocol by amending the signature slightly.",,978-0-7695-2943-1,10.1109/NPC.2007.78,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4351597,,Digital signatures;Forgery;Information security;Public key cryptography;Cryptographic protocols;Public key;Parallel processing;Mobile communication;Mobile computing;Resists,,,,11,IEEE,22-Oct-07,18-21 Sept. 2007,18-21 Sept. 2007,IEEE,IEEE Conferences
A Tool for the Detection of Hidden Data in Microsoft Compound Document File Format,H. Kwon; Y. Kim; S. Lee; J. Lim,"Center for information Security Technologies & Graduate School of Information Management and Security, Korea University, Seoul, South Korea; Center for information Security Technologies & Graduate School of Information Management and Security, Korea University, Seoul, South Korea; Center for information Security Technologies & Graduate School of Information Management and Security, Korea University, Seoul, South Korea; Center for information Security Technologies & Graduate School of Information Management and Security, Korea University, Seoul, South Korea",2008 International Conference on Information Science and Security (ICISS 2008),22-Jan-08,2008,,,141,146,"For digital forensic investigators, files that use Microsoft compound document file format (MCDFF) present a problem: It is easy to hide information in MCDFF but hard to detect hidden data in them. Using an application downloaded from the Internet and Win32 API (Application programming interface), it is possible for a criminal to hide information in MCDFF which might be important to an investigation. Prior to our research, no tool existed to detect data hidden in MCDFF, making analysis of MCDFF for investigations a difficult process. This paper presents an analysis of MCDFF features exploited in order to hide data and a tool (""DOCdetector"") to detect hidden data using these exploits. Studying methods used to hide data in unused space and inserted streams led us to develop DOCdetector tool to aid in the detection and examination of hidden data.",,978-0-7695-3080-2,10.1109/ICISS.2008.19,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4438224,,Information security;Steganography;Data security;Digital forensics;Internet;Information science;Paper technology;Information management;Cryptography;Computer crime,,3,,14,IEEE,22-Jan-08,10-12 Jan. 2008,10-12 Jan. 2008,IEEE,IEEE Conferences
A framework for computer forensics investigations involving Microsoft Vista,D. R. Hayes; S. Qureshi,"Pace University, USA; Pace University, USA","2008 IEEE Long Island Systems, Applications and Technology Conference",07-Oct-08,2008,,,1,8,"The technical environment continues to change and impact the work of digital investigations. This research provides a framework within which computer forensics investigators can take advantage of new or different types of evidence from Microsoftpsilas Vista operating system (ldquoVistardquo). Moreover, this paper will also indicate the many challenges that investigators will encounter when faced with the Vista platform. The focus herein will be on changes associated with new security, encryption and file restoration features. These features vary according to the version of Vista and these differences will also be discussed. This research will also detail the integrity of data recovery procedures through detailed experiments used to identify how data could be manipulated by a perpetrator in Vista as compared to previous versions of Microsoftpsilas operating systems. Ultimately, this paper will indicate that enhancements in security and encryption associated with Encrypted File System (EFS) as well as BitLocker Drive Encryption are very problematic for investigators. Vista has serious implications for computer forensics investigations. Nevertheless, this research will guide the digital investigator through the labyrinth of new challenges, to effect a more thorough investigation of digital evidence.",,978-1-4244-1731-5,10.1109/LISAT.2008.4638951,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4638951,Vista;BitLocker;Encryption;Operating Systems;Computer Forensics;Computer Security,Cryptography;Computers;Operating systems;File systems;Security;Data mining;Hardware,,1,,13,IEEE,07-Oct-08,2-2 May 2008,2-2 May 2008,IEEE,IEEE Conferences
Copyright Protection with EXIF Metadata and Error Control Codes,H. -C. Huang; W. -C. Fang; S. -C. Chen,"National University of Kaohsiung, Taiwan; National Chiao Tung University, Taiwan; National University of Kaohsiung, Taiwan",2008 International Conference on Security Technology,22-Dec-08,2008,,,133,136,"In this paper, we propose a practical scheme for copyright protection of images with the aid of EXIF metadata and error control codes. Application for robust watermarking is one of the major branches in digital rights management (DRM) systems and digital forensics. By use of robust watermarking, it generally alters selected coefficients in the transform domain to accomplish the embedding process. We consider not only the image contents itself, but we also employ the EXIF metadata, which serves as the role of watermark, to be integrated into our scheme. Moreover, for enhancing the copyright protection capability, channel coding is employed. Taking the manufacturer, camera model, date and time stamp, and some other information in the EXIF metadata into account, conventional watermarking techniques can be applied to ordinary pictures taken by ourselves, and watermarked images with good quality can be produced. Even when the marked image has been intentionally modified, the original EXIF with selected information can mostly be recovered from the channel decoding process. Simulation results present the effectiveness of such an implementation.",,978-0-7695-3486-2,10.1109/SecTech.2008.8,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4725361,EXIF;watermarking;digital rights management;error control code,Copyright protection;Error correction;Watermarking;Digital cameras;Robustness;Discrete cosine transforms;Digital images;Digital forensics;Virtual manufacturing;Organizing,,3,,10,IEEE,22-Dec-08,13-15 Dec. 2008,13-15 Dec. 2008,IEEE,IEEE Conferences
A Steganographic Algorithm for Hiding Data in PDF Files Based on Equivalent Transformation,X. Liu; Q. Zhang; C. Tang; J. Zhao; J. Liu,"College of Electronic Science and Engineering, National University of Defense Technology, Changsha, Hunan, China; College of Electronic Science and Engineering, National University of Defense Technology, Changsha, Hunan, China; College of Electronic Science and Engineering, National University of Defense Technology, Changsha, Hunan, China; College of Electronic Science and Engineering, National University of Defense Technology, Changsha, Hunan, China; College of Electronic Science and Engineering, National University of Defense Technology, Changsha, Hunan, China",2008 International Symposiums on Information Processing,27-Jun-08,2008,,,417,421,"To amend the defects of low perceptual transparency, low capacity, low security of the present information hiding technology in PDF files, we present a novel steganographic algorithm which is better in perceptual transparency property, capacity and security. Attributive to the insensitiveness of PDF files to the seriation of entries, the algorithm helps to realize the information hiding in high degree of perceptual transparency and in large capacity without writing new data in the original file. And as the initial value of the chaotic map, the key is generated by applying the secure hash algorithm, to keep the system meet Kerckhoffs rules and enable integrity service. In addition, this algorithm is equipped strong anti-statistical attack ability.",,978-0-7695-3151-9,10.1109/ISIP.2008.35,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4554124,steganographic algorithm;information hiding;PDF;equivalent transformation,Steganography;Dictionaries;Cryptography;Chaotic communication;Information security;Displays;Data security;National security;Vehicles;Information processing,,3,,12,IEEE,27-Jun-08,23-25 May 2008,23-25 May 2008,IEEE,IEEE Conferences
